cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Colorado",10/20/2016,10/22/2016,"Remington","",1581,"lv",2.15935,45,43,5,,44.92534,41.18266,5.942513,,"","http://big.assets.huffingtonpost.com/COSTATEWIDE.pdf",47335,74069,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/14/2016,10/16/2016,"Monmouth University","A+",726,"lv",2.152627,50,38,5,,49.10295,38.04358,5.066395,,"","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_101716/",46886,73362,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/24/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.147417,43,42,5,,43.92675,42.21717,5.044635,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct25",47327,74051,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/17/2016,10/23/2016,"SurveyMonkey","C-",32225,"lv",2.135405,46,41,7,,46.30923,40.2318,4.018404,,"","https://www.scribd.com/document/328753246/NBC-News-SurveyMonkey-Toplines-and-Methodology-1017-1023?secret_password=sIipyJjqvaCenavKCCzX",47324,74045,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/17/2016,10/23/2016,"CVOTER International","C+",1414,"lv",2.118976,49.46,46.39,,,44.75117,39.74397,,,"","http://www.upi.com/Top_News/US/2016/10/24/UPICVoter-poll-Hillary-Clintons-lead-over-Donald-Trump-narrows-to-307-points/7031477307768/?spt=sec&or=tn",47246,73933,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/21/2016,10/24/2016,"Greenberg Quinlan Rosner (Democracy Corps)","B-",900,"lv",2.116133,50,38,5,,48.6364,38.52604,3.912966,,"","http://www.democracycorps.com/attachments/article/1051/Dcor_Oct%20National_FQ_10.24.2016_ealert.pdf",47355,74118,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/11/2016,10/14/2016,"SurveyUSA","A",845,"lv",2.095086,46,36,5,,45.21817,35.42197,5.141815,,"","http://www.surveyusa.com/client/PollReport.aspx?g=43152229-1c55-4feb-8b4d-50aeb48c36b1",47062,73638,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Illinois",10/16/2016,10/18/2016,"Victory Research","",1200,"lv",2.057271,51.2,36.1,5.6,,50.55652,35.16307,5.525064,,"","http://big.assets.huffingtonpost.com/Victory.Research.Illinois.10.18.16.pdf",47315,74028,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/20/2016,10/22/2016,"Remington","",1332,"lv",2.026634,44,47,4,,43.92091,45.17745,4.942513,,"","http://big.assets.huffingtonpost.com/NVSTATEWIDE.pdf",47337,74072,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Wisconsin",10/18/2016,10/19/2016,"Public Policy Polling","B+",804,"lv",1.996729,50,38,,,47.74483,36.0056,,,"","http://endcitizensunited.org/wp-content/uploads/2016/10/ECU-WI-poll-Oct19.pdf",47087,73699,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/10/2016,10/13/2016,"NBC News/Wall Street Journal","A-",905,"lv",1.991958,48,37,7,,47.70255,37.88582,5.560297,,"","http://www.nbcnews.com/politics/first-read/clinton-holds-11-point-national-lead-over-trump-nbc-wsj-n666986",46868,73321,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/9/2016,10/13/2016,"RKM Research and Communications, Inc.","B+",1101,"lv",1.974624,46,41,6,,46.55397,40.18972,5.600648,,"","http://www.bostonherald.com/sites/default/files/media/2016/10/16/FPU-BH-Memo-101616.pdf",46871,73328,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Pennsylvania",10/7/2016,10/11/2016,"Selzer & Company","A+",806,"lv",1.974384,48,39,6,,48.49091,39.00359,5.026995,,"","http://www.bloomberg.com/politics/articles/2016-10-13/pennsylvania-poll",46776,73148,10/13/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/19/2016,10/20/2016,"Morning Consult","",1395,"lv",1.970196,42,36,9,,43.39748,37.50282,7.71345,,"","http://www.politico.com/f/?id=00000157-e699-dd9d-ad7f-efdf0ec20001",47159,73796,10/21/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"California",10/13/2016,10/15/2016,"SurveyUSA","A",725,"lv",1.936621,56,30,4,,55.15929,29.42248,4.200182,,"","http://www.ocregister.com/articles/percent-732384-poll-california.html",46947,73434,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/20/2016,10/23/2016,"Bendixen & Amandi International","",800,"lv",1.923248,48,41,6,,46.90157,41.15149,6.407122,,"","http://www.reviewjournal.com/politics/election-2016/rj-poll-shows-clinton-pulling-away-trump-nevada?test",47318,74036,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Florida",10/12/2016,10/13/2016,"Public Policy Polling","B+",985,"lv",1.893957,46,42,5,,45.88586,42.09741,5.513123,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_104161.pdf",46814,73256,10/14/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Montana",10/10/2016,10/12/2016,"Mason-Dixon Polling & Research, Inc.","B+",1003,"lv",1.887359,36,46,11,,35.78315,46.96498,10.3294,,"","http://missoulian.com/news/government-and-politics/trump-leads-in-montana-but-voters-aren-t-that-fond/article_09de91e3-c013-5e70-b82e-252fff748260.html",46870,73327,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"New Hampshire",10/17/2016,10/19/2016,"Emerson College","B",900,"lv",1.85974,44,36,10,,44.3321,34.9713,9.446757,,"","http://media.wix.com/ugd/3bebb2_98fe8b3559f64960a573ecad7dc22ec9.pdf",47079,73675,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Minnesota",10/20/2016,10/22/2016,"Mason-Dixon Polling & Research, Inc.","B+",625,"lv",1.840349,47,39,6,,46.21527,39.54007,5.97686,,"","http://www.startribune.com/in-minnesota-poll-clinton-widens-lead-over-trump/398272671/",47319,74037,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"South Dakota",10/19/2016,10/21/2016,"Remington","",1115,"lv",1.826135,37,48,6,,36.97498,46.26014,6.862188,,"","http://www.ksfy.com/content/news/Poll-Trump-Thune-hold-double-digit-leads-in-South-Dakota-398112241.html",47346,74087,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/10/2016,10/12/2016,"Marist College","A",743,"lv",1.826,45,41,9,,44.08084,41.89777,7.246529,,"","http://www.wsj.com/articles/hillary-clinton-leads-by-4-points-in-north-carolina-donald-trump-has-1-point-gain-in-ohio-poll-finds-1476388816?tesla=y",46788,73166,10/13/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/14/2016,10/16/2016,"SurveyUSA","A",651,"lv",1.821356,46,44,6,,45.0748,43.35248,6.254421,,"","http://www.surveyusa.com/client/PollReport.aspx?g=ce17282d-d070-493a-8bcd-ee02ca9016e6",47057,73630,10/18/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/12/2016,10/16/2016,"CBS News/New York Times","A-",778,"lv",1.811623,47,38,8,,47.43523,38.16882,6.364347,,"","http://www.cbsnews.com/news/cbs-poll-clintons-lead-over-trump-widens-with-three-weeks-to-go/",46954,73443,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Washington",10/20/2016,10/22/2016,"Elway Research","A+",502,"lv",1.809893,48,31,1,,48.36848,32.96302,2.412569,,"","https://www.documentcloud.org/documents/3173866-Elway-Poll-102416.html",47316,74029,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/10/2016,10/15/2016,"CNN/Opinion Research Corp.","A-",788,"lv",1.805382,48,47,4,,47.44186,45.07135,3.078001,,"","http://i2.cdn.turner.com/cnn/2016/images/10/17/link.1..pdf",46883,73344,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Wisconsin",10/6/2016,10/9/2016,"Marquette University","A",878,"lv",1.78716,44,37,9,,44.65493,37.56678,7.11368,,"","https://law.marquette.edu/poll/2016/10/12/press-release-title/",46767,73136,10/12/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Ohio",10/10/2016,10/12/2016,"Marist College","A",724,"lv",1.785736,41,42,9,,40.12444,42.93269,7.246529,,"","http://www.wsj.com/articles/hillary-clinton-leads-by-4-points-in-north-carolina-donald-trump-has-1-point-gain-in-ohio-poll-finds-1476388816?tesla=y",46789,73167,10/13/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/10/2016,10/11/2016,"Public Policy Polling","B+",986,"lv",1.781337,47,43,,,44.91809,40.97634,,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NV_101216.pdf",46771,73138,10/12/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Ohio",10/10/2016,10/15/2016,"CNN/Opinion Research Corp.","A-",774,"lv",1.781127,44,48,4,,43.4754,46.10726,3.078001,,"","http://i2.cdn.turner.com/cnn/2016/images/10/17/link.3..pdf",46885,73352,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/12/2016,10/14/2016,"YouGov","B",996,"lv",1.779548,46,40,4,,46.44469,39.87093,5.243176,,"","http://www.cbsnews.com/news/poll-women-propel-hillary-clinton-into-battleground-lead-over-donald-trump/?ftag=CNM-00-10aab7e&linkId=29990731",46867,73320,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Florida",10/11/2016,10/13/2016,"Gravis Marketing","B-",1799,"rv",1.77546,46,42,2,,46.65503,41.9831,1.75032,,"","http://www.breitbart.com/2016-presidential-race/2016/10/15/exclusive-breitbartgravis-poll-clinton-up-4-points-over-trump-in-florida/",46863,73310,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"New Hampshire",10/11/2016,10/17/2016,"University of New Hampshire","B+",755,"lv",1.747374,49,34,8,,50.03505,36.09296,6.988903,,"","https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_preselec101916.pdf",47089,73703,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Maine CD-2",10/10/2016,10/11/2016,"Clarity Campaign Labs","B",932,"lv",1.733826,39,39,,,37.30074,37.16464,,,"","https://www.scribd.com/document/328156011/ME-02-Clarity-Campaign-Labs-for-House-Majority-PAC-Oct-2016",47088,73701,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Pennsylvania",10/17/2016,10/19/2016,"Emerson College","B",800,"lv",1.7337,45,41,4,,45.28286,39.90108,3.446757,,"","http://media.wix.com/ugd/3bebb2_98fe8b3559f64960a573ecad7dc22ec9.pdf",47080,73676,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Utah",10/12/2016,10/14/2016,"YouGov","B",951,"lv",1.731446,20,37,7,20,20.35628,36.50016,8.015547,20.77682,"","http://www.cbsnews.com/news/poll-women-propel-hillary-clinton-into-battleground-lead-over-donald-trump/?ftag=CNM-00-10aab7e&linkId=29990731",46866,73319,10/16/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Virginia",10/16/2016,10/19/2016,"Christopher Newport University","B-",834,"lv",1.725908,45,33,8,,46.48372,35.65146,5.834871,,"","http://www.13newsnow.com/news/politics/elections/poll-clinton-leads-in-virginia-trump-rebounds-slightly/339712305",47154,73794,10/21/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"New York",10/13/2016,10/17/2016,"Siena College","A",611,"lv",1.706484,54,30,5,,54.25926,31.75486,3.419525,,"","http://files.constantcontact.com/9c83fb30501/bf2b01c8-26d1-4eaf-983a-1ee767e34e62.pdf",47059,73634,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/15/2016,10/18/2016,"YouGov","B",925,"rv",1.699435,42,38,6,,43.54296,39.90618,6.773011,,"","https://today.yougov.com/news/2016/10/19/yougoveconomist-poll-october-15-18-2016/",47077,73667,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Missouri",10/9/2016,10/11/2016,"Remington","",2171,"lv",1.697494,42,47,4,,42.5131,45.54242,4.236521,,"","http://themissouritimes.com/34543/poll-koster-trump-lead-missouri-lt-gov-close-call/",46780,73153,10/13/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/17/2016,10/24/2016,"Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",1.678294,46,43,6,,46.97355,43.28275,5.957448,,"","http://www.allianceesapoll.com/new-poll-results.html",47352,74099,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Ohio",10/17/2016,10/24/2016,"Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",1.678294,42,44,6,,42.97907,44.28923,5.957448,,"","http://www.allianceesapoll.com/new-poll-results.html",47353,74100,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Pennsylvania",10/17/2016,10/24/2016,"Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",1.678294,45,40,7,,45.97602,40.28565,6.957448,,"","http://www.allianceesapoll.com/new-poll-results.html",47354,74102,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Florida",10/17/2016,10/24/2016,"Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",1.678294,46,43,3,,46.97851,43.28857,2.957448,,"","http://www.allianceesapoll.com/new-poll-results.html",47351,74098,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Louisiana",10/17/2016,10/19/2016,"Mason-Dixon Polling & Research, Inc.","B+",625,"lv",1.677053,34,54,2,,33.3273,54.72013,1.756759,,"","http://www.ksla.com/story/33437911/exclusive-poll-trump-holds-strong-lead-over-clinton-in-louisiana",47155,73788,10/21/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/17/2016,10/20/2016,"American Research Group","C+",1006,"lv",1.666538,49,42,,,46.18814,38.48815,,,"","http://americanresearchgroup.com/pres2016/na16-6.html",47164,73807,10/21/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Wisconsin",10/13/2016,10/16/2016,"St. Norbert College","A-",664,"lv",1.661049,47,39,1,,47.2119,39.75023,1.896626,,"","http://www.snc.edu/sri/docs/2016/201610_Fall_WI_Survey_President_Release.pdf",47014,73509,10/18/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/10/2016,10/15/2016,"CNN/Opinion Research Corp.","A-",698,"lv",1.645635,46,44,7,,45.47718,42.10916,6.078001,,"","http://i2.cdn.turner.com/cnn/2016/images/10/17/link.2..pdf",46884,73350,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Colorado",10/10/2016,10/16/2016,"Quinnipiac University","A-",685,"lv",1.635653,45,37,10,,46.23196,36.57025,8.999661,,"","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2388",46941,73423,10/17/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/20/2016,10/22/2016,"Rasmussen Reports/Pulse Opinion Research","C+",826,"lv",1.630705,46,42,5,,46.97937,42.28958,4.957448,,"","https://docs.google.com/spreadsheets/d/1Lmzgp1uILz6KoAiS4J7ygTkvm0dgdoMdV4ZW32dMlGk/edit#gid=0",47317,74031,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Oregon",10/10/2016,10/12/2016,"SurveyUSA","A",654,"lv",1.61553,48,38,6,,47.40211,37.44378,6.01195,,"","http://www.surveyusa.com/client/PollReport.aspx?g=088d0066-02dc-4faa-affe-a321d1390f73&utm_source=twitterfeed&utm_medium=twitter",46794,73186,10/13/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Nevada",10/10/2016,10/11/2016,"Clarity Campaign Labs","B",1010,"lv",1.603782,43,43,,,42.38729,42.26391,,,"","http://endcitizensunited.org/wp-content/uploads/2016/10/ECU-NV-poll3-Oct12.pdf",46779,73151,10/13/16,"16:40:05 25 Oct 2016"
