1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2010,MI,Michigan,7,H0MI07119,,Richard E.,Wunsch,"Wunsch, Richard E.",,GRE,*,,,,3464,1.09%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2011,MI,Michigan,7,n/a,,,,,District Votes:,,88161,,,,318069,,,,,,,
2012,MI,Michigan,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,
2013,MI,Michigan,8,H0MI08042,(I),Mike,Rogers,"Rogers, Mike",,R,56208,85.73%,,,202217,58.60%,,,,,W,
2014,MI,Michigan,8,H2MI08105,,Brian,Hetrick,"Hetrick, Brian",,R,6098,9.30%,,,,,,,,,,
2015,MI,Michigan,8,H2MI08121,,Vernon,Molnar,"Molnar, Vernon",,R,3257,4.97%,,,,,,,,,,
2016,MI,Michigan,8,n/a,,,,,Party Votes:,R,65563,,,,,,,,,,,
2017,MI,Michigan,8,H0MI08091,,Lance,Enderle,"Enderle, Lance",,D,29322,100.00%,,,128657,37.29%,,,,,,
2018,MI,Michigan,8,n/a,,,,,Party Votes:,D,29322,,,,,,,,,,,
2019,MI,Michigan,8,H2MI08147,,Daniel,Goebel,"Goebel, Daniel",,LIB,*,,,,8083,2.34%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2020,MI,Michigan,8,H2MI08139,,Preston,Brooks,"Brooks, Preston",,NPA,,,,,6097,1.77%,,,,,,
2021,MI,Michigan,8,n/a,,,,,District Votes:,,94885,,,,345054,,,,,,,
2022,MI,Michigan,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,
2023,MI,Michigan,9,H2MI17023,(I),Sander,Levin,"Levin, Sander",,D,55198,100.00%,,,208846,61.91%,,,,,W,
2024,MI,Michigan,9,n/a,,,,,Party Votes:,D,55198,,,,,,,,,,,
2025,MI,Michigan,9,H0MI12127,,Don,Volaric,"Volaric, Don",,R,24521,61.60%,,,114760,34.02%,,,,,,
2026,MI,Michigan,9,H2MI09145,,Gregory C.,Dildilian,"Dildilian, Gregory C.",,R,15283,38.40%,,,,,,,,,,
2027,MI,Michigan,9,n/a,,,,,Party Votes:,R,39804,,,,,,,,,,,
2028,MI,Michigan,9,H2MI09137,,Jim,Fulner,"Fulner, Jim",,LIB,*,,,,6100,1.81%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2029,MI,Michigan,9,H0MI12135,,Julia,Williams,"Williams, Julia",,GRE,*,,,,4708,1.40%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2030,MI,Michigan,9,H6MI12231,,Les,Townsend,"Townsend, Les",,UST,*,,,,2902,0.86%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2031,MI,Michigan,9,n/a,,,,,District Votes:,,95002,,,,337316,,,,,,,
2032,MI,Michigan,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,
2033,MI,Michigan,10,H6MI12181,(I),Candice S. ,Miller,"Miller, Candice S. ",,R,68063,100.00%,,,226075,68.80%,,,,,W,
2034,MI,Michigan,10,n/a,,,,,Party Votes:,R,68063,,,,,,,,,,,
2035,MI,Michigan,10,H2MI10101,,Chuck ,Stadler,"Stadler, Chuck ",,D,13480,58.14%,,,97734,29.74%,,,,,,
2036,MI,Michigan,10,H2MI10093,,Jerome George,Quinn,"Quinn, Jerome George",,D,9705,41.86%,,,,,,,,,,
2037,MI,Michigan,10,n/a,,,,,Party Votes:,D,23185,,,,,,,,,,,
2038,MI,Michigan,10,H0MI08109,,Bhagwan,Dashairya,"Dashairya, Bhagwan",,LIB,,,,,4803,1.46%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2039,MI,Michigan,10,n/a,,,,,District Votes:,,91248,,,,328612,,,,,,,
2040,MI,Michigan,,n/a,,,,DISTRICT 11,,,,,,,,,,,,,,
2041,MI,Michigan,11 - FULL TERM,H2MI11133,,Kerry,Bentivolio,"Bentivolio, Kerry",,R,42470,66.28%,,,181788,50.76%,,,,,W,
2042,MI,Michigan,11 - FULL TERM,H2MI11158,,Nancy,Cassis,"Cassis, Nancy",,W(R),21436,33.45%,,,,,,,,,,
2043,MI,Michigan,11 - FULL TERM,n/a,,Drexel,Morton,"Morton, Drexel",,W(R),161,0.25%,,,,,,,,,,
2044,MI,Michigan,11 - FULL TERM,n/a,,Loren,Bennett,"Bennett, Loren",,W(R),14,0.02%,,,,,,,,,,
2045,MI,Michigan,11 - FULL TERM,n/a,,,,,Party Votes:,R,64081,,,,,,,,,,,
2046,MI,Michigan,11 - FULL TERM,H2MI11117,,Syed,Taj,"Taj, Syed",,D,21953,58.87%,,,158879,44.36%,,,,,,
2047,MI,Michigan,11 - FULL TERM,H2MI11141,,William F. ,Roberts,"Roberts, William F. ",,D,15338,41.13%,,,,,,,,,,
2048,MI,Michigan,11 - FULL TERM,n/a,,,,,Party Votes:,D,37291,,,,,,,,,,,
2049,MI,Michigan,11 - FULL TERM,H8MI11247,,John J.,Tatar,"Tatar, John J.",,LIB,*,,,,9637,2.69%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2050,MI,Michigan,11 - FULL TERM,H2MI11208,,Steven Paul,Duke,"Duke, Steven Paul",,GRE,*,,,,4569,1.28%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2051,MI,Michigan,11 - FULL TERM,H2MI11216 ,,Daniel,Johnson,"Johnson, Daniel",,NLP,,,,,3251,0.91%,,,,,,
2052,MI,Michigan,11 - FULL TERM,n/a,,James,Van Gilder,"Van Gilder, James",,W,,,,,14,0.00%,,,,,,
2053,MI,Michigan,11 - FULL TERM,n/a,,Ralph,Sherman,"Sherman, Ralph",,W,,,,,1,0.00%,,,,,,
2054,MI,Michigan,11,n/a,,,,,District Votes:,,101372,,,,358139,,,,,,,
2055,MI,Michigan,,n/a,,,,DISTRICT 11 UNEXPIRED TERM:,,,,,,,,,,,,,,
2056,MI,Michigan,11 - UNEXPIRED TERM,H2MI11190,,David A.,Curson,"Curson, David A.",,D,11450,100.00%,,,159258,48.39%,,,,,W,
2057,MI,Michigan,11 - UNEXPIRED TERM,n/a,,,,,Party Votes:,D,11450,,,,,,,,,,,
2058,MI,Michigan,11 - UNEXPIRED TERM,H2MI11133,,Kerry,Bentivolio,"Bentivolio, Kerry",,R,10280,41.69%,,,151736,46.10%,,,,,,
2059,MI,Michigan,11 - UNEXPIRED TERM,H2MI11158,,Nancy,Cassis,"Cassis, Nancy",,R,8803,35.70%,,,,,,,,,,
2060,MI,Michigan,11 - UNEXPIRED TERM,H2MI11174,,Carolyn,Kavanagh,"Kavanagh, Carolyn",,R,2653,10.76%,,,,,,,,,,
2061,MI,Michigan,11 - UNEXPIRED TERM,H2MI11182,,Steve,King,"King, Steve",,R,1715,6.95%,,,,,,,,,,
2062,MI,Michigan,11 - UNEXPIRED TERM,H2MI11166,,Kenneth,Crider,"Crider, Kenneth",,R,1208,4.90%,,,,,,,,,,
2063,MI,Michigan,11 - UNEXPIRED TERM,n/a,,,,,Party Votes:,R,24659,,,,,,,,,,,
2064,MI,Michigan,11 - UNEXPIRED TERM,H8MI11247,,John J.,Tatar,"Tatar, John J.",,LIB,,,,,11606,3.53%,,,,,,
2065,MI,Michigan,11 - UNEXPIRED TERM,H0MI14214,,Marc J.,Sosnowski,"Sosnowski, Marc J.",,UST,,,,,6529,1.98%,,,,,,
2066,MI,Michigan,11 - UNEXPIRED TERM,n/a,,James,Van Gilder,"Van Gilder, James",,W,,,,,8,0.00%,,,,,,
2067,MI,Michigan,11 - UNEXPIRED TERM,n/a,,,,,District Votes:,,36109,,,,329137,,,,,,,
2068,MI,Michigan,,n/a,,,,DISTRICT 12,,,,,,,,,,,,,,
2069,MI,Michigan,12,H6MI16034,(I),John D. ,Dingell,"Dingell, John D. ",,D,41116,78.55%,,,216884,67.94%,,,,,W,
2070,MI,Michigan,12,H2MI12149,,Daniel  ,Marcin,"Marcin, Daniel  ",,D,11226,21.45%,,,,,,,,,,
2071,MI,Michigan,12,n/a,,,,,Party Votes:,D,52342,,,,,,,,,,,
2072,MI,Michigan,12,H2MI12156,,Cynthia,Kallgren,"Kallgren, Cynthia",,R,12028,50.73%,,,92472,28.97%,,,,,,
2073,MI,Michigan,12,H2MI12131,,Karen E.,Jacobsen,"Jacobsen, Karen E.",,R,11670,49.22%,,,,,,,,,,
2074,MI,Michigan,12,n/a,,Timothy,Kachinski,"Kachinski, Timothy",,W(R),10,0.04%,,,,,,,,,,
2075,MI,Michigan,12,n/a,,,,,Party Votes:,R,23708,,,,,,,,,,,
2076,MI,Michigan,12,H8MI14092,,Richard J.,Secula,"Secula, Richard J.",,LIB,*,,,,9867,3.09%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2077,MI,Michigan,12,n/a,,,,,District Votes:,,76050,,,,319223,,,,,,,
2078,MI,Michigan,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,
2079,MI,Michigan,13,H6MI01028,(I),"John, Jr.",Conyers,"Conyers, John, Jr.",,D,38371,55.40%,,,235336,82.79%,,,,,W,
2080,MI,Michigan,13,H2MI13121,,Glenn,Anderson,"Anderson, Glenn",,D,12586,18.17%,,,,,,,,,,
2081,MI,Michigan,13,H2MI13154,,Shanelle,Jackson,"Jackson, Shanelle",,D,8708,12.57%,,,,,,,,,,
2082,MI,Michigan,13,H2MI13113,,Bert,Johnson,"Johnson, Bert",,D,6928,10.00%,,,,,,,,,,
2083,MI,Michigan,13,H2MI13147,,John,Goci,"Goci, John",,D,2664,3.85%,,,,,,,,,,
2084,MI,Michigan,13,n/a,,,,,Party Votes:,D,69257,,,,,,,,,,,
2085,MI,Michigan,13,H2MI13162,,Harry T.,Sawicki,"Sawicki, Harry T.",,R,8462,100.00%,,,38769,13.64%,,,,,,
2086,MI,Michigan,13,n/a,,,,,Party Votes:,R,8462,,,,,,,,,,,
2087,MI,Michigan,13,H2MI13170,,Chris,Sharer,"Sharer, Chris",,LIB,*,,,,6076,2.14%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2088,MI,Michigan,13,H2MI13188,,Martin,Gray,"Gray, Martin",,UST,*,,,,4089,1.44%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2089,MI,Michigan,13,n/a,,,,,District Votes:,,77719,,,,284270,,,,,,,
2090,MI,Michigan,,n/a,,,,DISTRICT 14,,,,,,,,,,,,,,
2091,MI,Michigan,14,H8MI09068,(I),Gary,Peters,"Peters, Gary",,D,41230,47.03%,,,270450,82.26%,,,,,W,
2092,MI,Michigan,14,H0MI13398,(I),Hansen,Clarke,"Clarke, Hansen",,D,30847,35.19%,,,,,,,,,,
2093,MI,Michigan,14,H2MI14111,,Brenda,Lawrence,"Lawrence, Brenda",,D,11644,13.28%,,,,,,,,,,
2094,MI,Michigan,14,H8MI13185,,Mary,Waters,"Waters, Mary",,D,2919,3.33%,,,,,,,,,,
2095,MI,Michigan,14,H2MI14129,,Bob,Costello,"Costello, Bob",,D,1027,1.17%,,,,,,,,,,
2096,MI,Michigan,14,n/a,,,,,Party Votes:,D,87667,,,,,,,,,,,
2097,MI,Michigan,14,H0MI13414,,John,Hauler,"Hauler, John",,R,17691,100.00%,,,51395,15.63%,,,,,,
2098,MI,Michigan,14,n/a,,,,,Party Votes:,R,17691,,,,,,,,,,,
2099,MI,Michigan,14,H8MI05108,,Leonard,Schwartz,"Schwartz, Leonard",,LIB,*,,,,3968,1.21%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2100,MI,Michigan,14,H8MI09084,,Douglas,Campbell,"Campbell, Douglas",,GRE,*,,,,2979,0.91%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2101,MI,Michigan,14,n/a,,,,,District Votes:,,105358,,,,328792,,,,,,,
2102,MI,Michigan,,n/a,,,,,,,,,,,,,,,,,,
2103,MI,Michigan,H,n/a,,,,,Total State Votes:,,1249637,,,,4903769,,,,,,,
2104,MI,Michigan,,n/a,,,,,,,,,,,,,,,,,,
2105,MI,Michigan,S,S8MI00281,(I),Debbie,Stabenow,"Stabenow, Debbie",,D,555719,100.00%,,,2735826,58.80%,,,,,W,
2106,MI,Michigan,S,n/a,,,,,Party Votes:,D,555719,,,,,,,,,,,
2107,MI,Michigan,S,S2MI00193,,Pete,Hoekstra,"Hoekstra, Pete",,R,398873,54.27%,,,1767386,37.98%,,,,,,
2108,MI,Michigan,S,S0MI00056,,Clark,Durant,"Durant, Clark",,R,246685,33.57%,,,,,,,,,,
2109,MI,Michigan,S,S2MI00177,,Randy,Hekman,"Hekman, Randy",,R,48761,6.63%,,,,,,,,,,
2110,MI,Michigan,S,S2MI00219,,Gary,Glenn,"Glenn, Gary",,R,40600,5.52%,,,,,,,,,,
2111,MI,Michigan,S,n/a,,,,,Party Votes:,R,734919,,,,,,,,,,,
2112,MI,Michigan,S,S8MI00315,,Scotty,Boman,"Boman, Scotty",,LIB,*,,,,84480,1.82%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2113,MI,Michigan,S,S8MI00331,,Harley,Mikkelson,"Mikkelson, Harley",,GRE,*,,,,27890,0.60%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2114,MI,Michigan,S,S2MI00243,,Richard A.,Matkin,"Matkin, Richard A.",,UST,*,,,,26038,0.56%,,,,,,"* The Libertarian Party nominated by convention on June 2, 2012, the Green Party nominated by convention on June 3, 2012, and the U.S. Taxpayers Party nominated by convention on June 16, 2012.  Convention nominees are noted with an asterisk."
2115,MI,Michigan,S,S2MI00235,,John D. ,Litle,"Litle, John D. ",,NLP,,,,,11229,0.24%,,,,,,
2116,MI,Michigan,S,n/a,,Amitabh,Ghosh,"Ghosh, Amitabh",,W,,,,,48,0.00%,,,,,,
2117,MI,Michigan,S,n/a,,Daniel,Holloway,"Holloway, Daniel",,W,,,,,10,0.00%,,,,,,
2118,MI,Michigan,S,n/a,,Raymond,O'Donnell,"O'Donnell, Raymond",,W,,,,,7,0.00%,,,,,,
2119,MI,Michigan,S,S2MI00250,,Katherine,Houston,"Houston, Katherine",,W,,,,,4,0.00%,,,,,,
2120,MI,Michigan,S,n/a,,,,,Total State Votes:,,1290638,,,,4652918,,,,,,,
2121,,,,n/a,,,,,,,,,,,,,,,,,,
2122,MN,Minnesota,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
2123,MN,Minnesota,1,H6MN01174,(I),Tim,Walz,"Walz, Tim",,DFL,15697,100.00%,,,193211,57.52%,,,,,W,
2124,MN,Minnesota,1,n/a,,,,,Party Votes:,DFL,15697,,,,,,,,,,,
2125,MN,Minnesota,1,H0MN01037,,Allen,Quist,"Quist, Allen",,R,12540,54.14%,,,142164,42.33%,,,,,,
2126,MN,Minnesota,1,H2MN01132,,Mike,Parry,"Parry, Mike",,R,10622,45.86%,,,,,,,,,,
2127,MN,Minnesota,1,n/a,,,,,Party Votes:,R,23162,,,,,,,,,,,
2128,MN,Minnesota,1,n/a,,,Scattered,Scattered,,W,,,,,505,0.15%,,,,,,
2129,MN,Minnesota,1,n/a,,,,,District Votes:,,38859,,,,335880,,,,,,,
2130,MN,Minnesota,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
2131,MN,Minnesota,2,H8MN06047,(I),John,Kline,"Kline, John",,R,15859,85.12%,,,193587,54.01%,,,,,W,
2132,MN,Minnesota,2,H2MN02130,,David,Gerson,"Gerson, David",,R,2772,14.88%,,,,,,,,,,
2133,MN,Minnesota,2,n/a,,,,,Party Votes:,R,18631,,,,,,,,,,,
2134,MN,Minnesota,2,H2MN02122,,Mike,Obermueller,"Obermueller, Mike",,DFL,11628,100.00%,,,164338,45.85%,,,,,,
2135,MN,Minnesota,2,n/a,,,,,Party Votes:,DFL,11628,,,,,,,,,,,
2136,MN,Minnesota,2,n/a,,,Scattered,Scattered,,W,,,,,520,0.15%,,,,,,
2137,MN,Minnesota,2,n/a,,Josh D.,Ondich,"Ondich, Josh D.",,W,,,,,1,0.00%,,,,,,
2138,MN,Minnesota,2,n/a,,,,,District Votes:,,30259,,,,358446,,,,,,,
2139,MN,Minnesota,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
2140,MN,Minnesota,3,H8MN03077,(I),Erik,Paulsen,"Paulsen, Erik",,R,18672,90.19%,,,222335,58.10%,,,,,W,
2141,MN,Minnesota,3,H2MN03088,,"John W., III",Howard,"Howard, John W., III",,R,2032,9.81%,,,,,,,,,,
2142,MN,Minnesota,3,n/a,,,,,Party Votes:,R,20704,,,,,,,,,,,
2143,MN,Minnesota,3,H2MN03070,,Brian,Barnes,"Barnes, Brian",,DFL,11786,100.00%,,,159937,41.79%,,,,,,
2144,MN,Minnesota,3,n/a,,,,,Party Votes:,DFL,11786,,,,,,,,,,,
2145,MN,Minnesota,3,n/a,,,Scattered,Scattered,,W,,,,,433,0.11%,,,,,,
2146,MN,Minnesota,3,n/a,,,,,District Votes:,,32490,,,,382705,,,,,,,
2147,MN,Minnesota,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
2148,MN,Minnesota,4,H0MN04049,(I),Betty,McCollum,"McCollum, Betty",,DFL,27291,84.19%,,,216685,62.27%,,,,,W,
2149,MN,Minnesota,4,H0MN04155,,Diana,Longrie,"Longrie, Diana",,DFL,3212,9.91%,,,,,,,,,,
2150,MN,Minnesota,4,H2MN04136,,Brian,Stalboerger,"Stalboerger, Brian",,DFL,1913,5.90%,,,,,,,,,,
2151,MN,Minnesota,4,n/a,,,,,Party Votes:,DFL,32416,,,,,,,,,,,
2152,MN,Minnesota,4,H2MN04110,,Tony,Hernandez,"Hernandez, Tony",,R,6876,64.07%,,,109659,31.51%,,,,,,
2153,MN,Minnesota,4,H2MN04128,,Ron,Seiford,"Seiford, Ron",,R,3856,35.93%,,,,,,,,,,
2154,MN,Minnesota,4,n/a,,,,,Party Votes:,R,10732,,,,,,,,,,,
2155,MN,Minnesota,4,H0MN04163,,Steve,Carlson,"Carlson, Steve",,IDP,545,100.00%,,,21135,6.07%,,,,,,
2156,MN,Minnesota,4,n/a,,,,,Party Votes:,IDP,545,,,,,,,,,,,
2157,MN,Minnesota,4,n/a,,,Scattered,Scattered,,W,,,,,502,0.14%,,,,,,
2158,MN,Minnesota,4,n/a,,Amber,Garlan,"Garlan, Amber",,W,,,,,10,0.00%,,,,,,
2159,MN,Minnesota,4,n/a,,,,,District Votes:,,43693,,,,347991,,,,,,,
2160,MN,Minnesota,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,
2161,MN,Minnesota,5,H6MN05183,(I),Keith,Ellison,"Ellison, Keith",,DFL,30609,89.63%,,,262102,74.47%,,,,,W,
2162,MN,Minnesota,5,H6MN05316,,Gregg A.,Iverson,"Iverson, Gregg A.",,DFL,2143,6.28%,,,,,,,,,,
2163,MN,Minnesota,5,H2MN05141,,Gary,Boisclair,"Boisclair, Gary",,DFL,1397,4.09%,,,,,,,,,,
2164,MN,Minnesota,5,n/a,,,,,Party Votes:,DFL,34149,,,,,,,,,,,
2165,MN,Minnesota,5,H2MN05133,,Chris,Fields,"Fields, Chris",,R,5966,100.00%,,,88753,25.22%,,,,,,
2166,MN,Minnesota,5,n/a,,,,,Party Votes:,R,5966,,,,,,,,,,,
2167,MN,Minnesota,5,n/a,,,Scattered,Scattered,,W,,,,,1105,0.31%,,,,,,
2168,MN,Minnesota,5,n/a,,Tony,Lane,"Lane, Tony",,W,,,,,9,0.00%,,,,,,
2169,MN,Minnesota,5,n/a,,,,,District Votes:,,40115,,,,351969,,,,,,,
2170,MN,Minnesota,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,
2171,MN,Minnesota,6,H6MN06074,(I),Michele,Bachmann,"Bachmann, Michele",,R,14569,80.35%,,,179240,50.47%,,,,,W,
2172,MN,Minnesota,6,H2MN06206,,Stephen,Thompson,"Thompson, Stephen",,R,2322,12.81%,,,,,,,,,,
2173,MN,Minnesota,6,H8MN06070,,Aubrey,Immelman,"Immelman, Aubrey",,R,1242,6.85%,,,,,,,,,,
2174,MN,Minnesota,6,n/a,,,,,Party Votes:,R,18133,,,,,,,,,,,
2175,MN,Minnesota,6,H2MN06198,,Jim,Graves,"Graves, Jim",,DFL,8600,100.00%,,,174944,49.26%,,,,,,
2176,MN,Minnesota,6,n/a,,,,,Party Votes:,DFL,8600,,,,,,,,,,,
2177,MN,Minnesota,6,n/a,,,Scattered,Scattered,,W,,,,,966,0.27%,,,,,,
2178,MN,Minnesota,6,n/a,,Curtis,Hed,"Hed, Curtis",,W,,,,,2,0.00%,,,,,,
2179,MN,Minnesota,6,n/a,,Derek,Henkels,"Henkels, Derek",,W,,,,,1,0.00%,,,,,,
2180,MN,Minnesota,6,n/a,,,,,District Votes:,,26733,,,,355153,,,,,,,
2181,MN,Minnesota,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,
2182,MN,Minnesota,7,H2MN07014,(I),Collin C.,Peterson,"Peterson, Collin C.",,DFL,Unopposed,,,,197791,60.38%,,,,,W,
2183,MN,Minnesota,7,H0MN07059,,Lee,Byberg,"Byberg, Lee",,R,Unopposed,,,,114151,34.85%,,,,,,
2184,MN,Minnesota,7,H2MN07097,,Adam,Steele,"Steele, Adam",,IDP,Unopposed,,,,15298,4.67%,,,,,,
2185,MN,Minnesota,7,n/a,,,Scattered,Scattered,,W,,,,,336,0.10%,,,,,,
2186,MN,Minnesota,7,n/a,,,,,District Votes:,,,,,,327576,,,,,,,
2187,MN,Minnesota,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,
2188,MN,Minnesota,8,H2MN08111,,Richard,Nolan,"Nolan, Richard",,DFL,20840,38.29%,,,191976,54.28%,,,,,W,
2189,MN,Minnesota,8,H0MN06127,,Tarryl L.,Clark,"Clark, Tarryl L.",,DFL,17554,32.25%,,,,,,,,,,
2190,MN,Minnesota,8,H2MN08103,,Jeff,Anderson,"Anderson, Jeff",,DFL,16035,29.46%,,,,,,,,,,
2191,MN,Minnesota,8,n/a,,,,,Party Votes:,DFL,54429,,,,,,,,,,,
2192,MN,Minnesota,8,H0MN08115,(I),Chip,Cravaack,"Cravaack, Chip",,R,20471,100.00%,,,160520,45.39%,,,,,,
2193,MN,Minnesota,8,n/a,,,,,Party Votes:,R,20471,,,,,,,,,,,
2194,MN,Minnesota,8,n/a,,,Scattered,Scattered,,W,,,,,1167,0.33%,,,,,,
2195,MN,Minnesota,8,n/a,,,,,District Votes:,,74900,,,,353663,,,,,,,
2196,MN,Minnesota,,n/a,,,,,,,,,,,,,,,,,,
2197,MN,Minnesota,H,n/a,,,,,Total State Votes:,,287049,,,,2813383,,,,,,,
2198,MN,Minnesota,,n/a,,,,,,,,,,,,,,,,,,
2199,MN,Minnesota,S,S6MN00267,(I),Amy,Klobuchar,"Klobuchar, Amy",,DFL,183766,90.80%,,,1854595,65.23%,,,,,W,
2200,MN,Minnesota,S,S6MN00101,,"""Dick""",Franson,"Franson, ""Dick""",,DFL,6837,3.38%,,,,,,,,,,
2201,MN,Minnesota,S,S2MN00159,,Jack Edward,Shepard,"Shepard, Jack Edward",,DFL,6632,3.28%,,,,,,,,,,
2202,MN,Minnesota,S,S6MN00366,,Darryl,Stanton,"Stanton, Darryl",,DFL,5155,2.55%,,,,,,,,,,
2203,MN,Minnesota,S,n/a,,,,,Party Votes:,DFL,202390,,,,,,,,,,,
2204,MN,Minnesota,S,S2MN00266,,Kurt,Bills,"Bills, Kurt",,R,63383,51.12%,,,867974,30.53%,,,,,,
2205,MN,Minnesota,S,S2MN00290,,David,Carlson,"Carlson, David",,R,43852,35.37%,,,,,,,,,,
2206,MN,Minnesota,S,S2MN00308,,"Bob, Jr.",Carney,"Carney, Bob, Jr.",,R,16759,13.52%,,,,,,,,,,
2207,MN,Minnesota,S,n/a,,,,,Party Votes:,R,123994,,,,,,,,,,,
2208,MN,Minnesota,S,S6MN00382,,Stephen,Williams,"Williams, Stephen",,IDP,3066,59.68%,,,73539,2.59%,,,,,,
2209,MN,Minnesota,S,S2MN00282,,Glen R. Anderson,Menze,"Menze, Glen R. Anderson",,IDP,2071,40.32%,,,,,,,,,,
2210,MN,Minnesota,S,n/a,,,,,Party Votes:,IDP,5137,,,,,,,,,,,
2211,MN,Minnesota,S,S6MN00234,,Tim,Davis,"Davis, Tim",,GRT,,,,,30531,1.07%,,,,,,
2212,MN,Minnesota,S,S6MN00408,,Michael,Cavlan,"Cavlan, Michael",,MOP,,,,,13986,0.49%,,,,,,
2213,MN,Minnesota,S,n/a,,,Scattered,Scattered,,W,,,,,2568,0.09%,,,,,,
2214,MN,Minnesota,S,S2MN00274,,Andrew ,Schuler,"Schuler, Andrew ",,W,,,,,4,0.00%,,,,,,
2215,MN,Minnesota,S,S2MN00159,,Jack,Shepard,"Shepard, Jack",,W,,,,,1,0.00%,,,,,,
2216,MN,Minnesota,S,n/a,,Frank,Forrestal,"Forrestal, Frank",,W,,,,,9,0.00%,,,,,,
2217,MN,Minnesota,S,n/a,,,,,Total State Votes:,,331521,,,,2843207,,,,,,,
2218,,,,n/a,,,,,,,,,,,,,,,,,,
2219,MS,Mississippi,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
2220,MS,Mississippi,1,H0MS01043,(I),Alan,Nunnelee,"Nunnelee, Alan",,R,43518,57.28%,,,186760,60.41%,,,,,W,
